premun/ingrid,Ingrid is a JetBrains MPS plugin allowing the import of ANTLRv4 grammars and creation of an MPS language automatically out of the grammar,False,2016-03-07T11:36:34Z,2019-08-15T19:12:13Z,2019-08-15T19:12:09Z,20607,16,16,Java,True,True,True,True,False,6,1,Apache License 2.0,6,1,16,master,7,14,8.0
prestodb/presto,The official home of the Presto distributed SQL query engine for big data,False,2012-08-09T01:03:37Z,2019-12-14T14:45:31Z,2019-12-14T07:21:22Z,123829,9968,9968,Java,True,True,True,True,False,3421,982,Apache License 2.0,3421,982,9968,master,875,3,10.0
prestosql/presto,"Official home of the community managed version of Presto, the distributed SQL query engine for big data, under the auspices of the Presto Software Foundation.",False,2019-01-19T06:38:14Z,2019-12-14T08:38:22Z,2019-12-14T15:28:01Z,84814,777,777,Java,True,False,True,True,False,338,477,Apache License 2.0,338,477,777,master,77,3,12.0
prezi/spaghetti,Type-safe APIs for compile-to-JavaScript modules,False,2013-11-19T21:03:48Z,2019-12-05T08:02:39Z,2019-12-05T08:02:38Z,26311,31,31,Java,True,True,True,True,True,3,14,Other,3,14,31,master,155,1,20.0
processing/processing4,Experimental Processing fork to attempt the move to JDK 11,False,2019-10-03T23:45:54Z,2019-12-12T20:55:59Z,2019-12-04T19:02:23Z,127500,43,43,Java,True,True,True,True,False,8,11,Other,8,11,43,master,8,3,5.0
protobufel/protobuf-el,"ProtoBuf Enhancements and Java Parser, Fast FileSystem Scanning, Exec Plugin",False,2014-11-02T05:14:14Z,2019-01-28T06:53:14Z,2017-07-04T18:02:10Z,9448,11,11,Java,True,True,True,True,True,0,1,"BSD 3-Clause ""New"" or ""Revised"" License",0,1,11,master,2,2,15.0
protostuff/protostuff-compiler,"Protobuf parser, java code and documentation generator",False,2015-03-21T22:07:04Z,2019-08-23T18:42:06Z,2019-12-08T02:09:15Z,1535,28,28,Java,True,True,True,True,False,20,11,Apache License 2.0,20,11,28,master,7,2,24.0
pxb1988/dex2jar,Tools to work with android .dex and java .class files,False,2015-03-16T09:13:07Z,2019-12-14T07:22:41Z,2019-12-05T02:32:28Z,8684,6964,6964,Java,True,True,True,True,False,1388,279,Apache License 2.0,1388,279,6964,2.x,410,1,2.0
pyros2097/GdxStudio,"An IDE for creating Games using libGDx and Java supported on all platforms Android, iOS, Desktop",False,2014-03-15T15:07:36Z,2019-09-18T19:45:27Z,2018-08-17T09:43:54Z,28322,38,38,Java,True,True,True,True,True,3,0,Apache License 2.0,3,0,38,master,14,1,4.0
quarkusio/quarkus,Quarkus: Supersonic Subatomic Java. ,False,2018-07-06T00:44:20Z,2019-12-14T14:05:48Z,2019-12-14T16:30:46Z,39238,3472,3472,Java,True,True,True,True,False,557,786,Apache License 2.0,557,786,3472,master,140,2,2.0
radkovo/jStyleParser,"jStyleParser is a CSS parser written in Java. It has its own application interface that is designed to allow an efficient CSS processing in Java and mapping the values to the Java data types. It parses CSS 2.1 style sheets into structures that can be efficiently assigned to DOM elements. It is intended be the primary CSS parser for the CSSBox library. While handling errors, it is user agent conforming according to the CSS specification.",False,2014-01-02T21:12:24Z,2019-11-28T01:28:36Z,2019-11-01T23:18:16Z,5441,57,57,Java,True,True,True,False,False,44,20,GNU Lesser General Public License v3.0,44,20,57,master,9,2,8.0
raphydaphy/Q-Programming-Language,The Q Programming Language is a powerful and easy to read programming language with features from Assembly and C.,False,2015-11-17T07:36:48Z,2019-09-04T13:24:57Z,2015-11-24T22:20:39Z,33,11,11,Java,True,True,True,True,False,1,1,MIT License,1,1,11,master,5,1,1.0
rapidminer/rapidminer-studio,"Easy-to-use visual environment for predictive analytics. No programming required.  RapidMiner is easily the most powerful and intuitive graphical user interface for the design of analysis processes. Forget sifting through code! You can also choose to run in batch mode. Whatever you prefer, RapidMiner has it all.",False,2015-08-26T10:57:00Z,2019-12-09T16:28:24Z,2019-11-07T10:38:58Z,59936,323,323,Java,True,True,True,False,False,182,6,GNU Affero General Public License v3.0,182,6,323,master,55,2,15.0
raydac/mvn-golang,A Maven plugin allows to build Go applications with maven,False,2016-03-24T06:47:08Z,2019-12-08T14:07:47Z,2019-12-05T08:32:18Z,95158,94,94,Java,True,True,True,True,False,16,1,Apache License 2.0,16,1,94,master,8,1,0.0
rdclark/pptx2html,PowerPoint OOXML (2007) to HTML conversion via ANTLR,False,2011-04-13T07:49:17Z,2019-06-30T09:34:08Z,2016-03-17T02:27:02Z,3072,15,15,Java,True,True,True,True,False,5,0,MIT License,5,0,15,master,2,2,8.0
renekrie/querqy,Query preprocessor for Java-based search engines,False,2014-08-03T21:34:39Z,2019-12-07T22:19:58Z,2019-12-07T22:19:56Z,1645,83,83,Java,True,True,True,True,False,24,9,Apache License 2.0,24,9,83,master,15,1,5.0
rewriting/tom,,False,2016-02-19T09:16:16Z,2019-11-26T21:52:28Z,2019-08-29T13:19:09Z,501925,20,20,Java,True,True,True,True,False,4,0,Other,4,0,20,v3,7,12,25.0
robjg/oddjob,Oddjob scheduler and task execution framework.,False,2011-05-26T09:43:07Z,2019-10-03T20:15:45Z,2019-06-18T05:48:19Z,7634,11,11,Java,True,True,True,True,False,2,1,Other,2,1,11,master,5,1,1.0
rockscript/rockscript,Resilient microservice integration,False,2017-07-17T14:35:29Z,2019-07-06T00:52:27Z,2018-01-31T08:28:33Z,2203,63,63,Java,True,True,True,True,False,9,4,Apache License 2.0,9,4,63,master,14,1,4.0
rolandhe/thrift-enhancer,"支持thrift协议的纯java版的增强工具集合, pojo直接转换为thrift，json/xml转换为thrift",False,2019-01-12T12:12:59Z,2019-11-30T06:07:10Z,2019-01-24T14:06:15Z,142,11,11,Java,True,True,True,True,False,0,0,,0,0,11,master,1,1,6.0
rpgleparser/rpgleparser,ANTLR parser for RPGLE,False,2015-02-20T02:57:25Z,2019-10-07T17:08:11Z,2019-03-02T02:20:45Z,1844,24,24,Java,True,True,True,True,False,16,9,Other,16,9,24,master,17,2,11.0
runelite/runelite,Open source Old School RuneScape client,False,2016-04-30T20:48:02Z,2019-12-13T19:28:28Z,2019-12-14T05:29:28Z,29183,2595,2595,Java,True,False,True,True,False,3432,1655,"BSD 2-Clause ""Simplified"" License",3432,1655,2595,master,83,1,2.0
s1ck/gdl,Graph Definition Language,False,2015-11-13T07:39:13Z,2019-12-05T09:56:23Z,2019-12-06T12:09:04Z,173,14,14,Java,True,True,True,True,False,10,9,Apache License 2.0,10,9,14,master,5,1,2.0
s4ke/moar,Deterministic Regular Expressions with Backreferences,False,2016-06-21T12:04:23Z,2019-10-30T07:59:39Z,2019-10-30T08:00:43Z,1622,14,14,Java,True,True,True,True,True,2,13,MIT License,2,13,14,master,3,1,3.0
sagap/sonar-solidity,SonarQube Analyzer for Solidity,False,2018-06-06T12:19:59Z,2019-07-04T13:08:26Z,2018-08-21T16:40:14Z,693,12,12,Java,True,True,True,True,False,5,14,GNU Lesser General Public License v3.0,5,14,12,master,0,1,40.0
salesforce/mt-dynamo,,False,2018-02-02T18:17:17Z,2019-12-13T15:46:26Z,2019-12-13T15:46:28Z,3856,23,23,Java,True,True,True,True,False,11,5,Other,11,5,23,master,10,1,4.0
sarahBuisson/kotlin-parser,,False,2017-10-17T15:22:18Z,2019-12-09T08:56:52Z,2017-11-06T23:00:42Z,21,14,14,ANTLR,True,True,True,True,False,1,3,,1,3,14,master,5,3,1.0
satnam-sandhu/ASTGenerator,Simple AST generator for Java v8 using ANTLR v4.,False,2018-01-17T18:19:04Z,2019-08-16T12:22:45Z,2018-01-26T15:29:42Z,2831,11,11,Java,True,True,True,True,False,11,0,MIT License,11,0,11,master,0,1,6.0
scarabhardware/ScarabIDE,,False,2014-07-31T23:19:55Z,2019-08-05T07:14:04Z,2015-01-06T01:23:50Z,15492,28,28,Java,True,True,True,True,False,7,0,,7,0,28,master,16,2,8.0
sebastian-r-schmidt/logicaldecoding,Parses PostgreSQL Logical Decoding output,False,2016-02-26T13:26:37Z,2019-12-10T13:51:21Z,2016-08-31T06:28:10Z,167,17,17,Java,True,True,True,False,False,5,0,MIT License,5,0,17,master,1,1,2.0
servicecatalog/development,An Enterprise-ready Cloud Services Management Software,False,2015-10-02T07:20:22Z,2019-10-21T17:00:56Z,2019-05-24T08:00:50Z,82614,37,37,Java,True,True,True,True,False,27,117,Apache License 2.0,27,117,37,master,36,2,4.0
shlee89/athena,,False,2017-06-22T06:18:43Z,2019-11-27T16:18:49Z,2018-12-14T02:16:40Z,31719,11,11,Java,True,True,True,True,False,6,1,Apache License 2.0,6,1,11,master,2,2,8.0
shmatov/antlr4-calculator,Simple antlr4 calculator.,False,2013-10-23T10:17:59Z,2019-12-02T07:37:14Z,2018-04-07T12:29:06Z,19,31,31,Java,True,True,True,True,False,20,0,,20,0,31,master,2,1,1.0
shunfei/indexr,An open-source columnar data format designed for fast & realtime analytic with big data.,False,2016-12-23T04:10:04Z,2019-11-20T16:02:35Z,2019-11-13T02:55:50Z,2427,412,412,Java,True,True,True,True,True,123,8,Apache License 2.0,123,8,412,master,62,1,2.0
siddhi-io/siddhi,Stream Processing and Complex Event Processing Engine,False,2014-04-21T09:51:36Z,2019-12-14T06:01:44Z,2019-12-13T07:10:45Z,38179,935,935,Java,True,True,True,False,True,399,54,Apache License 2.0,399,54,935,master,112,1,3.0
siom79/martins-developer-world,Source code for my blog entries under martinsdeveloperworld.wordpress.com,False,2013-12-17T22:02:57Z,2019-05-26T13:37:04Z,2015-08-29T10:29:41Z,285,21,21,Java,True,True,True,True,False,15,0,,15,0,21,master,2,1,1.0
skalogs/SkaETL,Open Source ETL designed for and dedicated to Log processing and transformation,False,2018-05-11T09:58:22Z,2019-12-11T01:42:53Z,2019-11-13T07:34:05Z,28544,37,37,Java,True,True,True,True,False,13,4,Apache License 2.0,13,4,37,master,8,2,5.0
sleekbyte/tailor,Cross-platform static analyzer and linter for Swift.,False,2015-05-25T02:11:10Z,2019-12-13T16:39:21Z,2017-12-08T04:54:07Z,2788,1321,1321,Java,True,True,True,True,True,47,27,MIT License,47,27,1321,master,32,1,32.0
slgobinath/Java-Helps-Java,Java projects from Java Helps.,False,2015-01-21T14:59:11Z,2019-12-10T13:32:05Z,2019-11-18T12:22:57Z,419,21,21,Java,True,True,True,True,False,135,2,,135,2,21,master,2,1,1.0
smaccm/smaccm,,False,2013-08-13T14:59:47Z,2019-09-18T09:53:20Z,2019-05-08T20:53:32Z,389032,31,31,Java,True,True,True,True,False,21,28,"BSD 3-Clause ""New"" or ""Revised"" License",21,28,31,master,29,1,9.0
smartdec/smartcheck, SmartCheck – a static analysis tool that detects vulnerabilities and bugs in Solidity programs (Ethereum-based smart contracts).,False,2018-02-05T15:00:56Z,2019-12-05T03:45:40Z,2019-10-25T20:31:28Z,1020,76,76,Java,True,True,True,True,False,18,3,GNU General Public License v3.0,18,3,76,master,10,2,13.0
snowdrop/istio-java-api,"A Java API to generate Istio descriptors, inspired by Fabric8's kubernetes-model.",False,2017-12-05T20:52:34Z,2019-12-05T14:56:15Z,2019-11-18T20:49:48Z,18176,49,49,Java,True,True,True,True,False,20,8,Apache License 2.0,20,8,49,master,7,1,2.0
solidityj/solidity-antlr4,Solidity grammar for ANTLR4,False,2016-12-23T02:21:26Z,2019-12-06T13:37:59Z,2019-09-21T07:39:32Z,68,64,64,ANTLR,True,True,True,True,False,24,2,MIT License,24,2,64,master,8,1,0.0
spotify/heroic,The Heroic Time Series Database,False,2015-05-29T05:20:53Z,2019-12-13T15:17:57Z,2019-12-03T19:13:24Z,9361,744,744,Java,True,True,True,False,True,90,33,Apache License 2.0,90,33,744,master,52,1,2.0
spring-projects/sts4,"The next generation of tooling for Spring Boot, including support for Cloud Foundry manifest files, Concourse CI pipeline definitions, BOSH deployment manifests, and more... - Available for Eclipse, Visual Studio Code, and Theia",False,2016-08-16T15:04:50Z,2019-12-14T17:29:27Z,2019-12-13T22:03:07Z,59049,298,298,Java,True,True,True,True,False,64,48,Other,64,48,298,master,53,1,5.0
ssaarela/javersion,Data versioning library for Java,False,2013-10-11T23:43:59Z,2019-11-04T09:04:50Z,2017-09-30T10:00:45Z,2109,41,41,Java,True,True,True,True,False,4,1,Apache License 2.0,4,1,41,master,5,1,7.0
stanford-futuredata/macrobase,MacroBase: A Search Engine for Fast Data,False,2015-12-17T21:36:20Z,2019-12-11T07:11:34Z,2019-12-10T22:07:02Z,27477,564,564,Java,True,True,True,True,False,105,25,Apache License 2.0,105,25,564,master,54,1,6.0
strapdata/elassandra,Elassandra = Elasticsearch + Apache Cassandra,False,2015-08-22T13:52:08Z,2019-12-13T03:08:30Z,2019-12-11T22:50:30Z,456842,1343,1343,Java,True,True,True,False,False,167,14,Apache License 2.0,167,14,1343,v6.2.3-strapdata,87,2,8.0
stratosphere/metadata-ms,"A library to store metadata of relational databases including the schema, statistics, and integrity constraints.",False,2015-03-11T15:27:17Z,2019-11-05T15:24:25Z,2018-08-07T15:07:49Z,2976,16,16,Java,True,True,True,True,False,9,5,Apache License 2.0,9,5,16,master,10,1,2.0
streamsets/datacollector,StreamSets Data Collector - Continuous big data and cloud platform ingest infrastructure,False,2015-09-09T22:43:02Z,2019-12-14T00:52:27Z,2019-12-13T14:37:26Z,388338,875,875,Java,False,True,True,True,False,466,17,Apache License 2.0,466,17,875,master,99,2,6.0
strongbox/strongbox,Strongbox is an artifact repository manager.,False,2013-08-01T23:27:37Z,2019-12-12T20:34:49Z,2019-12-13T12:22:13Z,18707,249,249,Java,True,True,True,False,False,370,203,Apache License 2.0,370,203,249,master,31,1,4.0
subchen/jetbrick-template-1x,"Java template engine, quickly and easily.",False,2013-10-28T14:56:29Z,2019-06-17T10:28:01Z,2015-04-02T10:23:38Z,13471,72,72,Java,True,True,True,True,False,27,3,Apache License 2.0,27,3,72,master,12,2,7.0
subchen/jetbrick-template-2x,Template Engine for Java,False,2014-10-08T01:51:50Z,2019-12-12T08:57:50Z,2019-01-25T08:58:39Z,607,328,328,Java,True,True,True,True,False,84,4,Other,84,4,328,master,25,2,2.0
syhily/elasticsearch-jdbc,"A elasticsearch specified SQL interface on Java, no need to tweak your es instance.",False,2017-10-10T12:44:59Z,2019-11-21T08:53:49Z,2017-10-25T05:59:41Z,158,38,38,Java,True,False,True,False,False,20,2,MIT License,20,2,38,master,12,2,6.0
teverett/antlr4example,A Java example for Antlr4,False,2017-07-15T23:19:00Z,2019-11-04T14:08:45Z,2019-06-16T17:16:15Z,29,24,24,ANTLR,True,True,True,True,False,11,0,,11,0,24,master,1,1,1.0
teverett/jvmBASIC,A BASIC to JVM bytecode compiler,False,2012-12-29T17:36:22Z,2019-06-15T23:11:14Z,2019-06-15T21:59:34Z,1232,25,25,Java,True,True,True,True,False,6,1,,6,1,25,master,8,1,23.0
tgvaughan/MASTER,A versatile simulation engine for stochastic population dynamics models.,False,2012-02-17T03:34:53Z,2019-10-24T06:43:24Z,2019-07-01T09:07:34Z,47351,15,15,Java,True,True,True,True,True,7,8,GNU General Public License v3.0,7,8,15,master,16,2,20.0
tgvaughan/bacter,Bacterial phylogenetics in BEAST 2.,False,2013-07-11T11:47:43Z,2019-07-01T10:45:36Z,2019-07-01T10:46:57Z,39050,12,12,Java,True,True,True,False,True,6,2,GNU General Public License v3.0,6,2,12,master,13,1,5.0
theonedev/onedev,Thoughtful git server. Easy to install and maintain.,False,2018-11-06T02:57:01Z,2019-12-14T12:19:39Z,2019-12-14T12:19:37Z,101687,184,184,Java,True,True,True,True,False,22,2,MIT License,22,2,184,master,12,17,19.0
timolson/cointrader,"Coin Trader is a Java-based backend for algorithmically trading cryptocurrencies.  It provides data collection and export, complex event processing and triggering, and backtesting - paper trading - live trading.",False,2014-06-01T01:14:12Z,2019-12-13T10:34:18Z,2019-11-08T18:29:56Z,4909,272,272,Java,True,True,True,True,True,126,20,Other,126,20,272,master,67,3,4.0
tinyfpga/yahdl,A programming language for FPGAs.,False,2018-01-23T05:51:47Z,2019-01-23T18:22:47Z,2018-05-05T21:18:44Z,56,15,15,Java,True,True,True,True,False,1,2,"BSD 3-Clause ""New"" or ""Revised"" License",1,2,15,master,5,1,7.0
tjitze/RankPL,A qualitative probabilistic programming language based on ranking theory,False,2016-11-28T00:05:29Z,2019-10-20T03:57:52Z,2019-06-16T11:39:57Z,6705,97,97,Java,True,True,True,True,False,9,0,MIT License,9,0,97,master,5,1,5.0
tlocke/zish,A data serialization format,False,2017-07-31T20:36:01Z,2019-11-21T15:03:18Z,2018-02-12T16:34:28Z,121,12,12,ANTLR,True,False,True,False,False,0,9,MIT License,0,9,12,master,2,1,0.0
tomaszi1/Java2Cpp-Translator,App translates Java source code to C++ source code.,False,2014-05-12T18:07:47Z,2019-07-27T00:36:53Z,2014-09-04T18:30:07Z,1724,14,14,Java,True,True,True,True,False,11,0,,11,0,14,master,4,2,18.0
tombaeyens/pwe,Principles of Workflow Engines,False,2015-06-15T18:35:40Z,2019-09-15T17:29:15Z,2015-09-28T06:19:23Z,585,12,12,Java,True,True,True,True,False,5,0,Other,5,0,12,master,2,1,6.0
tomlj/tomlj,"A Java parser for Tom's Obvious, Minimal Language (TOML).",False,2019-05-07T21:40:04Z,2019-11-20T01:00:38Z,2019-05-10T16:17:44Z,145,11,11,Java,True,True,True,True,True,1,1,Apache License 2.0,1,1,11,master,0,2,8.0
tugraz-isds/systemds,An open source ML system for the end-to-end data science lifecycle,False,2018-09-07T13:48:30Z,2019-12-14T14:15:03Z,2019-12-14T14:15:01Z,15138,27,27,Java,True,True,True,True,False,17,5,Apache License 2.0,17,5,27,master,9,1,22.0
tunnelvisionlabs/antlr4,The highly-optimized fork of ANTLR 4 (see README),False,2014-11-01T17:23:22Z,2019-10-09T23:54:48Z,2019-11-22T07:05:26Z,59846,32,32,Java,True,True,True,False,False,8,11,Other,8,11,32,master,6,17,357.0
tunnelvisionlabs/antlr4-grammar-postgresql,An ANTLR 4 lexer for PostgreSQL,False,2014-08-28T02:32:28Z,2019-08-29T09:39:16Z,2014-09-21T03:47:32Z,524,34,34,ANTLR,True,True,True,True,False,13,0,Other,13,0,34,master,4,1,3.0
